Deprecated Feature: Support for Python version 3.10 has been deprecated. Please update to Python 3.11 or above
18:16:32 INFO    yt2ds.pipeline: cW8uf0g4Pho: already complete, skipping
18:16:32 INFO    yt2ds.pipeline: iDoCWMTZlcA: already complete, skipping
18:16:32 INFO    yt2ds.pipeline: 2W76Ud4zNSg: already complete, skipping
18:16:32 INFO    yt2ds.pipeline: Uwl4c62UJyA: already complete, skipping
18:16:32 INFO    yt2ds.pipeline: pTfq6XUtPNA: already complete, skipping
18:16:32 INFO    yt2ds.pipeline: JcV--fMX9Fc: already complete, skipping
18:16:32 INFO    yt2ds.pipeline: lUzMkvCFY7k: already complete, skipping
18:16:32 INFO    yt2ds.pipeline: zc4ZiiKE5aI: already complete, skipping
18:16:32 INFO    yt2ds.pipeline: cYH3Fe3tJVc: already complete, skipping
18:16:32 INFO    yt2ds.pipeline: tfR8jIJydFE: already complete, skipping
18:16:32 INFO    yt2ds.pipeline: xDnAfBkIz_c: already complete, skipping
18:16:32 INFO    yt2ds.pipeline: 6FYYlf0uiJM: already complete, skipping
18:16:32 INFO    yt2ds.pipeline: BA7ObOyBIFY: already complete, skipping
18:16:32 INFO    yt2ds.pipeline: kdSjTkY6uyI: already complete, skipping
18:16:32 INFO    yt2ds.pipeline: lNvyyHXXxZE: already complete, skipping
18:16:32 INFO    yt2ds.pipeline: DMw_LaKJgKA: already complete, skipping
18:16:32 INFO    yt2ds.pipeline: 1130 video(s): 327 already complete, 803 to process
Deprecated Feature: Support for Python version 3.10 has been deprecated. Please update to Python 3.11 or above
Deprecated Feature: Support for Python version 3.10 has been deprecated. Please update to Python 3.11 or above
Deprecated Feature: Support for Python version 3.10 has been deprecated. Please update to Python 3.11 or above
